Date,Open,High,Low,Close,Volume,Range,Range (BTC),Action
9/17/14,465.864014,468.174011,452.421997,457.334015,21056800,15.752014,0.034124887,Sell
9/18/14,456.859985,456.859985,413.104004,424.440002,34483200,43.755981,0.099298722,Hold
9/19/14,424.102997,427.834991,384.532013,394.79599,37919700,43.302978,0.105759022,Hold
9/20/14,394.673004,423.29599,389.882996,408.903992,36863600,33.412994,0.083160653,Hold
9/21/14,408.084991,412.425995,393.181,398.821014,26580100,19.244995,0.047700711,Hold
9/22/14,399.100006,406.915985,397.130005,402.152008,24127600,9.78598,0.024426722,Hold
9/23/14,402.09201,441.557007,396.196991,435.790985,45099500,45.360016,0.108272912,Hold
9/24/14,435.751007,436.112,421.131989,423.204987,30627700,14.980011,0.034879577,Hold
9/25/14,423.156006,423.519989,409.467987,411.574005,26814400,14.052002,0.033668376,Hold
9/26/14,411.428986,414.937988,400.009003,404.424988,21460800,14.928985,0.036597199,Hold
9/27/14,403.556,406.622986,397.372009,399.519989,15029300,9.250977,0.023038858,Hold
9/28/14,399.471008,401.016998,374.332001,377.181,23613300,26.684997,0.068718027,Hold
9/29/14,376.928009,385.210999,372.23999,375.46701,32497700,12.971009,0.034479253,Hold
9/30/14,376.088013,390.97699,373.442993,386.944,34707300,17.533997,0.045958745,Hold
10/1/14,387.427002,391.378998,380.779999,383.61499,26229400,10.598999,0.027492663,Hold
10/2/14,383.988007,385.497009,372.946014,375.071991,21777700,12.550995,0.033069836,Hold
10/3/14,375.181,377.695007,357.859009,359.511993,30901200,19.835998,0.05399806,Hold
10/4/14,359.891998,364.487,325.885986,328.865997,47236500,38.601014,0.112088758,Hold
10/5/14,328.915985,341.800995,289.29599,320.51001,83308096,52.505005,0.161696653,Buy
10/6/14,320.389008,345.134003,302.559998,330.07901,79011800,42.574005,0.130902685,Hold
10/7/14,330.584015,339.247009,320.481995,336.187012,49199900,18.765014,0.056286231,Hold
10/8/14,336.115997,354.364014,327.187988,352.940002,54736300,27.176026,0.078879006,Hold
10/9/14,352.747986,382.726013,347.687012,365.026001,83641104,35.039001,0.097632407,Hold
10/10/14,364.687012,375.066986,352.963013,361.562012,43665700,22.103973,0.060871608,Hold
10/11/14,361.362,367.19101,355.950989,362.299011,13345200,11.240021,0.031064327,Hold
10/12/14,362.605988,379.433014,356.144012,378.549011,17552800,23.289002,0.062845159,Hold
10/13/14,377.92099,397.226013,368.897003,390.414001,35221400,28.32901,0.073741299,Hold
10/14/14,391.691986,411.697998,391.324005,400.869995,38491500,20.373993,0.051412996,Hold
10/15/14,400.954987,402.22699,388.765991,394.77301,25267100,13.460999,0.033833167,Hold
10/16/14,394.518005,398.807007,373.070007,382.556,26990000,25.737,0.066240795,Hold
10/17/14,382.756012,385.477997,375.389008,383.757996,13600700,10.088989,0.026324343,Hold
10/18/14,383.976013,395.15799,378.971008,391.441986,11416800,16.186982,0.041750339,Hold
10/19/14,391.253998,393.938995,386.457001,389.54599,5914570,7.481994,0.019164944,Hold
10/20/14,389.230988,390.084015,378.252014,382.845001,16419000,11.832001,0.030649835,Hold
10/21/14,382.42099,392.645996,380.834015,386.475006,14188900,11.811981,0.030724522,Hold
10/22/14,386.118011,388.575989,382.248993,383.15799,11641300,6.326996,0.016449222,Hold
10/23/14,382.962006,385.048004,356.446991,358.416992,26456900,28.601013,0.077156254,Hold
10/24/14,358.591003,364.345001,353.304993,358.345001,15585700,11.040008,0.03079775,Hold
10/25/14,358.610992,359.860992,342.877014,347.270996,18127500,16.983978,0.048121296,Hold
10/26/14,347.487,359.221008,343.931,354.70401,11272500,15.290008,0.043549427,Hold
10/27/14,354.777008,358.631989,349.80899,352.989014,13033000,8.822999,0.024931965,Hold
10/28/14,353.214996,359.984009,352.678986,357.618011,7845880,7.305023,0.020553415,Hold
10/29/14,357.088989,357.833008,335.342987,335.591003,18192700,22.490021,0.064936251,Hold
10/30/14,335.709015,350.912994,335.071991,345.304993,30177900,15.841003,0.046521813,Hold
10/31/14,345.009003,348.045013,337.141998,338.321014,12545400,10.903015,0.031911418,Hold
11/1/14,338.649994,340.528992,321.054993,325.748993,16677200,19.473999,0.058621399,Hold
11/2/14,326.075012,329.049988,320.626007,325.891998,8603620,8.423981,0.02584174,Hold
11/3/14,325.569,334.002014,325.480988,327.553986,12948500,8.521026,0.026093174,Hold
11/4/14,327.161011,331.766998,325.076996,330.492004,15655500,6.690002,0.020345081,Hold
11/5/14,330.683014,343.368988,330.683014,339.485992,19817200,12.685974,0.037859029,Hold
11/6/14,339.458008,352.966003,338.424011,349.290009,18797000,14.541992,0.042227322,Hold
11/7/14,349.817993,352.731995,341.776001,342.415009,16834200,10.955994,0.031654064,Hold
11/8/14,342.153992,347.032013,342.153992,345.488007,8535470,4.878021,0.014187676,Hold
11/9/14,345.376007,363.626007,344.255005,363.264008,24205600,19.371002,0.054670923,Hold
11/10/14,362.265015,374.81601,357.561005,366.924011,30450100,17.255005,0.047326562,Hold
11/11/14,365.856995,371.309998,363.734985,367.695007,15838900,7.575013,0.020652968,Hold
11/12/14,367.984985,429.717987,367.984985,423.561005,45783200,61.733002,0.155980834,Sell
11/13/14,427.27301,457.092987,401.122986,420.734985,58945000,55.970001,0.132003475,Hold
11/14/14,418.416992,419.252014,384.789001,397.817993,29589200,34.463013,0.084443852,Hold
11/15/14,399.649994,405.528015,371.007996,376.132996,15727500,34.520019,0.088994008,Hold
11/16/14,374.730011,390.799011,374.60199,387.881989,11905600,16.197021,0.04247775,Hold
11/17/14,388.348999,410.199005,377.502014,387.40799,41518800,32.696991,0.084296994,Hold
11/18/14,387.785004,392.402008,371.117004,375.197998,32222500,21.285004,0.055794176,Hold
11/19/14,373.895996,386.480988,373.895996,380.554993,18931800,12.584992,0.033361987,Hold
11/20/14,380.307007,382.024994,356.781006,357.839996,25233200,25.243988,0.068398267,Hold
11/21/14,357.878998,357.878998,344.112,350.847992,29850100,13.766998,0.038849933,Hold
11/22/14,351.604004,364.841003,350.877991,352.920013,15273000,13.963012,0.039638143,Hold
11/23/14,353.174988,370.845001,353.174988,367.572998,15151600,17.670013,0.049032431,Hold
11/24/14,366.947998,387.209015,366.669006,376.901001,30930100,20.540009,0.055226287,Hold
11/25/14,376.885986,394.700989,374.783997,375.347992,25442200,19.916992,0.052954247,Hold
11/26/14,376.019012,377.697998,365.81601,368.369995,18601700,11.881988,0.031924136,Hold
11/27/14,370.502014,373.992004,368.282013,369.670013,8748030,5.709991,0.015428821,Hold
11/28/14,369.373993,382.838013,358.454987,376.446991,22946500,24.383026,0.065385733,Hold
11/29/14,376.152008,387.601013,372.144989,375.490997,15375600,15.456024,0.04112597,Hold
11/30/14,375.51001,382.527008,373.30899,378.046997,9194440,9.218018,0.02446535,Hold
12/1/14,378.248993,383.661987,376.669006,379.244995,11763000,6.992981,0.018463463,Hold
12/2/14,379.25,384.037994,377.863007,381.315002,12364100,6.174987,0.016237894,Hold
12/3/14,381.721985,383.026001,374.346008,375.01001,13340100,8.679993,0.022940732,Hold
12/4/14,375.717987,378.654999,367.759003,369.604004,14529600,10.895996,0.029238359,Hold
12/5/14,369.441986,379.191986,365.756012,376.854004,15181800,13.435974,0.036007092,Hold
12/6/14,376.756989,378.447998,370.945007,374.785004,7009320,7.502991,0.019966924,Hold
12/7/14,374.835999,376.291992,373.274994,375.095001,6491650,3.016998,0.008046068,Hold
12/8/14,374.964996,376.028992,361.885986,361.908997,18898700,14.143006,0.038386498,Hold
12/9/14,361.894989,363.066986,344.950989,352.218994,32915500,18.115997,0.05073699,Hold
12/10/14,352.204987,352.384003,346.36499,346.36499,16427700,6.019013,0.017232384,Hold
12/11/14,344.339996,361.356995,338.763,350.506012,32431300,22.593995,0.0650331,Hold
12/12/14,350.833008,352.983002,349.290985,352.541992,16989800,3.692017,0.010498005,Hold
12/13/14,352.381012,352.381012,346.588013,347.376007,11675900,5.792999,0.016557173,Hold
12/14/14,346.72699,353.31601,345.417999,351.631989,12415200,7.898011,0.022618771,Hold
12/15/14,351.360992,351.815002,344.93399,345.345001,17264200,6.881012,0.019752986,Hold
12/16/14,345.673004,345.859009,327.062012,327.062012,30864900,18.796997,0.055882321,Hold
12/17/14,326.855011,333.95401,315.152008,319.776001,37567900,18.802002,0.058153728,Hold
12/18/14,319.785004,323.709015,304.231995,311.395996,39173000,19.47702,0.061716116,Hold
12/19/14,311.178986,318.53299,306.769012,317.842987,23823100,11.763978,0.037404029,Hold
12/20/14,317.618988,330.325012,316.044006,329.955994,20856700,14.281006,0.044106108,Hold
12/21/14,329.542999,329.628998,318.903015,320.842987,15207600,10.725983,0.032983438,Hold
12/22/14,321.067993,334.117004,320.424988,331.885986,22315100,13.692016,0.041938686,Hold
12/23/14,332.016998,336.286987,329.60199,334.571991,16574200,6.684997,0.020057328,Hold
12/24/14,334.38501,334.740997,321.356995,322.533997,15092300,13.384002,0.0407478,Hold
12/25/14,322.286011,322.670013,316.958008,319.007996,9883640,5.712005,0.017813998,Hold
12/26/14,319.152008,331.424011,316.627014,327.924011,16410500,14.796997,0.045734957,Hold
12/27/14,327.583008,328.911011,312.630005,315.863007,15185200,16.281006,0.050605663,Hold
12/28/14,316.160004,320.028015,311.078003,317.239014,11676600,8.950012,0.028260265,Hold
12/29/14,317.700989,320.266998,312.307007,312.670013,12302500,7.959991,0.02525494,Hold
12/30/14,312.718994,314.80899,309.372986,310.737,12528300,5.436004,0.017438293,Hold
12/31/14,310.914001,320.192993,310.210999,320.192993,13942900,9.981994,0.031633286,Hold
1/1/15,320.434998,320.434998,314.002991,314.248993,8036550,6.432007,0.020268376,Hold
1/2/15,314.07901,315.838989,313.565002,315.032013,7860650,2.273987,0.007229207,Hold
1/3/15,314.846008,315.149994,281.082001,281.082001,33054400,34.067993,0.114335935,Hold
1/4/15,281.145996,287.230011,257.612,264.195007,55629100,29.618011,0.108621985,Hold
1/5/15,265.084015,278.341003,265.084015,274.473999,43962800,13.256988,0.049140176,Hold
1/6/15,274.610992,287.553009,272.696014,286.188995,23245700,14.856995,0.052985005,Hold
1/7/15,286.076996,298.753998,283.07901,294.337006,24866800,15.674988,0.054013128,Hold
1/8/15,294.13501,294.13501,282.174988,283.348999,19982500,11.960022,0.041421137,Hold
1/9/15,282.382996,291.114014,280.53299,290.40799,18718600,10.581024,0.036945498,Hold
1/10/15,287.303009,288.127014,273.966003,274.79599,15264300,14.161011,0.050386181,Hold
1/11/15,274.608002,279.638,265.039001,265.660004,18200800,14.598999,0.054043544,Hold
1/12/15,266.145996,272.203003,265.200012,267.79599,18880300,7.002991,0.02623128,Hold
1/13/15,267.394012,268.277008,219.906006,225.860992,72843904,48.371002,0.196129797,Hold
1/14/15,223.893997,223.893997,171.509995,178.102997,97638704,52.384002,0.260618874,Buy
1/15/15,176.897003,229.067001,176.897003,209.843994,81773504,52.169998,0.269792954,Hold
1/16/15,209.070007,221.591003,199.770996,208.097,38421000,21.820007,0.104610416,Hold
1/17/15,207.834,211.731003,194.875,199.259995,23469700,16.856003,0.082811357,Hold
1/18/15,200.050003,218.695007,194.505997,210.339005,30085100,24.18901,0.117883323,Hold
